imdb_id,label,title
115759,3,Broken Arrow (1996)
113403,10,A Midwinter's Tale (1995)
111173,3,Shopping (1994)
113283,21,Heidi Fleiss: Hollywood Madam (1995)
115907,7,City Hall (1996)
117102,10,Mr. Wrong (1996)
118040,7,Unforgettable (1996)
116483,10,Happy Gilmore (1996)
112579,7,The Bridges of Madison County (1995)
117110,3,Muppet Treasure Island (1996)
112646,21,Catwalk (1995)
113276,10,Headless Body in Topless Bar (1995)
112573,14,Braveheart (1995)
75314,24,Taxi Driver (1976)
115645,24,Before and After (1996)
113774,7,Margaret's Museum (1995)
112556,10,Happiness Is in the Field (1995)
115033,24,The Young Poisoner's Handbook (1995)
116606,10,If Lucy Fell (1996)
114536,10,Steal Big Steal Little (1995)
117427,0,Race the Sun (1996)
106473,7,The Boys of St. Vincent (1992)
103859,10,Boomerang (1992)
109424,10,Chungking Express (1994)
110647,0,The Neverending Story III (1994)
111055,7,The Silences of the Palace (1994)
110217,21,Jupiter's Wife (1995)
114131,10,Pie in the Sky (1996)
112364,7,Angela (1995)
113107,7,Frankie Starlight (1995)
113451,24,Jade (1995)
114500,21,Sonic Outlaws (1995)
116130,10,Down Periscope (1996)
113756,10,Man of the Year (1995)
113952,7,The Neon Bible (1995)
118055,7,Up Close & Personal (1996)
115685,10,The Birdcage (1996)
113200,7,Gospa (1995)
112585,10,The Brothers McMullen (1995)
112442,3,Bad Boys (1995)
112342,9,The Amazing Panda Adventure (1995)
112461,14,The Basketball Diaries (1995)
112427,10,An Awfully Big Adventure (1995)
109093,10,Amateur (1994)
114287,0,Rob Roy (1995)
112288,22,The Addiction (1995)
112462,3,Batman Forever (1995)
61395,7,Belle de Jour (1967)
109370,10,Canadian Bacon (1995)
112642,10,Casper (1995)
112688,24,Clockers (1995)
112715,3,Congo (1995)
112740,3,Crimson Tide (1995)
109508,21,Crumb (1994)
112851,3,Desperado (1995)
112857,24,Devil in a Blue Dress (1995)
112887,3,The Doom Generation (1995)
113071,3,First Knight (1995)
113114,0,Free Willy 2: The Adventure Home (1995)
113464,10,Jeffrey (1995)
113481,3,Johnny Mnemonic (1995)
113492,3,Judge Dredd (1995)
113500,10,Jury Duty (1995)
113677,10,Living in Oblivion (1995)
113690,22,Lord of Illusions (1995)
107447,7,Love & Human Remains (1993)
113729,7,Mad Love (1995)
113749,10,Mallrats (1995)
113851,10,Moonlight and Valentino (1995)
110604,22,Mute Witness (1995)
110620,7,Nadja (1994)
113986,10,Nine Months (1995)
114095,10,Party Girl (1995)
114194,3,The Prophecy (1995)
114241,10,Reckless (1995)
114323,7,Safe (1995)
114345,7,The Scarlet Letter (1995)
114435,21,The Show (1995)
114436,7,Showgirls (1995)
114478,10,Smoke (1995)
114508,3,Species (1995)
114534,7,The Stars Fell on Henrietta (1995)
58450,7,The Umbrellas of Cherbourg (1964)
114666,24,The Tie That Binds (1995)
114702,14,Total Eclipse (1995)
114682,10,"To Wong Foo Thanks for Everything, Julie Newmar (1995)"
114781,3,Under Siege 2: Dark Territory (1995)
114805,21,Unzipped (1995)
114887,7,A Walk in the Clouds (1995)
114898,3,Waterworld (1995)
114928,7,White Man's Burden (1995)
114938,3,Wild Bill (1995)
109340,7,The Browning Version (1994)
111579,7,Burnt by the Sun (1994)
110882,7,Before the Rain (1994)
112471,7,Before Sunrise (1995)
112508,10,Billy Madison (1995)
112438,7,The Babysitter (1995)
112571,10,Boys on the Side (1995)
112757,7,The Cure (1995)
112643,7,Castle Freak (1995)
112679,7,Circle of Friends (1995)
109445,10,Clerks (1994)
112883,10,Don Juan DeMarco (1994)
109635,7,Disclosure (1994)
112899,19,Dream Man (1995)
109676,3,Drop Zone (1994)
112854,24,Destiny Turns on the Radio (1995)
109579,7,Death and the Maiden (1994)
109642,24,Dolores Claiborne (1995)
109686,10,Dumb & Dumber (1994)
109759,7,Exotica (1994)
109707,14,Ed Wood (1994)
113117,10,French Kiss (1995)
113198,12,A Goofy Movie (1995)
113303,5,Hideaway (1995)
113089,7,Fluke (1995)
109771,14,Farinelli (1994)
113199,10,Gordy (1995)
109906,24,The Glass Shield (1994)
110057,21,Hoop Dreams (1994)
110005,14,Heavenly Creatures (1994)
110066,10,Houseguest (1995)
113360,3,The Hunted (1995)
110099,10,I.Q. (1994)
110148,7,Interview with the Vampire: The Vampire Chronicles (1994)
110189,10,The Jerky Boys (1995)
110216,10,Junior (1994)
113501,3,Just Cause (1995)
113538,0,A Kid in King Arthur's Court (1995)
113552,3,Kiss of Death (1995)
76759,3,Star Wars: Episode IV - A New Hope (1977)
110367,7,Little Women (1994)
113670,7,A Little Princess (1995)
110296,7,Ladybird Ladybird (1994)
109731,24,L'Enfer (1994)
103994,7,Como agua para chocolate (1992)
110322,7,Legends of the Fall (1994)
110443,0,Major Payne (1995)
110365,24,Little Odessa (1994)
107566,24,Mi vida loca (1993)
109836,7,Mary Shelley's Frankenstein (1994)
113755,10,Man of the House (1995)
110538,10,Mixed Nuts (1994)
113896,7,My Family (1995)
110638,7,Nell (1994)
113967,24,New Jersey Drive (1995)
117169,3,New York Cop (1993)
106402,10,Beyond Bedlam (1994)
113948,3,Nemesis 2: Nebula (1995)
110671,10,Nina Takes a Lover (1994)
110632,24,Natural Born Killers (1994)
110737,10,Only You (1994)
110729,24,Once Were Warriors (1994)
114151,7,Poison Ivy II (1996)
114069,3,Outbreak (1995)
114113,10,The Perez Family (1995)
114210,10,A Pyromaniac's Love Story (1995)
114084,7,Panther (1995)
105652,10,Tui shou (1992)
110889,7,Priest (1994)
110932,14,Quiz Show (1994)
114129,7,Picture Bride (1994)
114214,3,The Quick and the Dead (1995)
111495,7,Three Colors: Red (1994)
111507,10,Three Colors: White (1994)
110769,7,Pao Da Shuang Deng (1994)
114268,7,Rent-a-Kid (1995)
110965,7,Relative Fear (1994)
114571,10,Stuart Saves His Family (1995)
111112,7,The Secret of Roan Inish (1994)
111255,3,The Specialist (1994)
111282,3,Stargate (1994)
111070,10,The Santa Clause (1994)
108260,7,Suture (1993)
114594,10,Swimming with Sharks (1994)
111309,10,The Sum of Us (1994)
110081,7,To Live (1994)
114614,3,Tank Girl (1995)
114608,3,Tales from the Crypt: Demon Knight (1995)
111280,3,Star Trek: Generations (1994)
114609,24,Tales from the Hood (1995)
111454,14,Tom & Viv (1994)
114694,0,Tommy Boy (1995)
114788,24,The Underneath (1995)
108550,7,What's Eating Gilbert Grape (1993)
114857,3,Virtuosity (1995)
111667,7,The War (1994)
110598,10,Muriel's Wedding (1994)
112435,10,The Baby-Sitters Club (1995)
109045,10,"The Adventures of Priscilla, Queen of the Desert (1994)"
106339,14,Backbeat (1994)
109348,10,Bullets Over Broadway (1994)
109444,3,Clear and Present Danger (1994)
109446,24,The Client (1994)
109484,10,"Corrina, Corrina (1994)"
109504,10,Crooklyn (1994)
109506,3,The Crow (1994)
109813,10,The Flintstones (1994)
109830,10,Forrest Gump (1994)
109831,10,Four Weddings and a Funeral (1994)
113305,24,Higher Learning (1995)
110091,10,I Like It Like That (1994)
110093,3,I Love Trouble (1994)
110167,10,It Could Happen to You (1994)
110213,0,The Jungle Book (1994)
107426,7,Little Buddha (1993)
111686,5,New Nightmare (1994)
110475,10,The Mask (1994)
110478,3,Maverick (1994)
110622,10,Naked Gun 33 1/3: The Final Insult (1994)
110771,10,The Paper (1994)
110950,10,Reality Bites (1994)
105226,24,Red Rock West (1993)
110989,10,Ri¢hie Ri¢h (1994)
111054,7,Safe Passage (1994)
111257,3,Speed (1994)
111256,10,Speechless (1994)
111438,3,Timecop (1994)
111503,3,True Lies (1994)
111693,7,When a Man Loves a Woman (1994)
111742,7,Wolf (1994)
112443,24,Bad Company (1995)
111048,10,S.F.W. (1994)
112570,7,"Boys Life: Three Stories of Love, Lust, and Liberation (1994)"
109454,7,Colonel Chabert (1994)
59170,3,"Faster, Pussycat! Kill! Kill! (1965)"
110186,24,Jason's Lyric (1994)
108069,12,The Secret Adventures of Tom Thumb (1993)
111301,3,Street Fighter (1994)
112702,3,Coldblooded (1995)
113014,7,Fall Time (1995)
113043,22,The Fear (1995)
113104,21,Frank and Ollie (1995)
113173,0,Girl in the Cadillac (1995)
114047,10,Open Season (1995)
109339,21,Brother Minister: The Assassination of Malcolm X (1994)
110027,3,Highlander: The Final Dimension (1994)
109035,24,Above the Rim (1994)
106220,10,Addams Family Values (1993)
111804,21,Martin Lawrence: You So Crazy (1994)
106226,7,The Age of Innocence (1993)
109068,10,Airheads (1994)
106292,3,Another Stakeout (1993)
109198,8,Bad Girls (1994)
106379,10,Being Human (1994)
106400,10,The Beverly Hillbillies (1993)
109254,3,Beverly Hills Cop III (1994)
109279,0,Black Beauty (1994)
109297,24,Blink (1993)
109303,3,Blown Away (1994)
109305,7,Blue Chips (1994)
106471,7,Boxing Helena (1993)
106489,24,A Bronx Tale (1993)
109361,0,Cabin Boy (1994)
106505,7,Calendar Girl (1993)
109439,10,City Slickers II: The Legend of Curly's Gold (1994)
109443,10,Clean Slate (1994)
106582,3,Cliffhanger (1993)
106598,10,Coneheads (1993)
109456,13,Color of Night (1994)
109480,10,Cops and Robbersons (1994)
109493,3,The Cowboy Way (1994)
106660,7,Dangerous Game (1993)
106673,10,Dave (1993)
106677,10,Dazed and Confused (1993)
109729,21,The Endless Summer 2 (1994)
106834,10,Even Cowgirls Get the Blues (1993)
106873,10,Fatal Instinct (1993)
106881,7,Fearless (1993)
106880,10,Fear of a Black Hat (1993)
111732,10,With Honors (1994)
106926,7,Flesh and Bone (1993)
111712,10,Widows' Peak (1994)
106941,10,For Love or Money (1993)
106918,7,The Firm (1993)
106965,0,Free Willy (1993)
109842,24,Fresh (1994)
109890,3,The Getaway (1994)
109891,10,Getting Even with Dad (1994)
109913,7,Go Fish (1994)
107057,24,Guilty as Sin (1993)
107076,3,Hard Target (1993)
107096,3,Heaven & Earth (1993)
107144,3,Hot Shots! Part Deux (1993)
107151,7,The House of the Spirits (1993)
110074,10,The Hudsucker Proxy (1994)
110097,10,I'll Do Anything (1994)
107207,14,In the Name of the Father (1993)
110137,8,The Inkwell (1994)
108551,14,What's Love Got to Do with It (1993)
110197,24,Jimmy Hollywood (1994)
107286,3,Judgment Night (1993)
107302,24,Kalifornia (1993)
110265,24,Killing Zoe (1993)
107322,7,King of the Hill (1993)
110305,9,Lassie (1994)
107362,3,Last Action Hero (1993)
110353,10,Lightning Jack (1994)
107468,7,M. Butterfly (1993)
107497,24,Malice (1993)
107501,7,The Man Without a Face (1993)
107507,10,Manhattan Murder Mystery (1993)
116253,3,Executive Decision (1996)
74102,14,In the Realm of the Senses (1976)
107611,7,Mr. Jones (1993)
107613,10,Mr. Wonderful (1993)
107614,10,Mrs. Doubtfire (1993)
107653,10,Naked (1993)
110649,10,The New Age (1994)
110687,0,North (1994)
107756,14,Orlando (1992)
107818,7,Philadelphia (1993)
107840,7,Poetic Justice (1993)
107889,3,The Program (1993)
111003,22,The Puppet Masters (1994)
110939,10,Radioland Murders (1994)
110955,10,The Ref (1994)
107943,7,The Remains of the Day (1993)
110971,10,Renaissance Man (1994)
111001,10,The Road to Wellville (1994)
107978,3,RoboCop 3 (1993)
107977,0,Robin Hood: Men in Tights (1993)
108000,7,Ruby in Paradise (1993)
108002,14,Rudy (1993)
108026,7,The Saint of Fort Washington (1993)
105032,14,Les nuits fauves (1992)
108052,14,Schindler's List (1993)
111094,10,The Scout (1994)
108065,14,Searching for Bobby Fischer (1993)
111102,7,Second Best (1994)
108071,7,The Secret Garden (1993)
111127,10,Serial Mom (1994)
111143,3,The Shadow (1994)
111194,7,A Simple Twist of Fate (1994)
111201,10,Sirens (1993)
108149,10,Six Degrees of Separation (1993)
108160,10,Sleepless in Seattle (1993)
108162,7,Sliver (1993)
83658,4,Blade Runner (1982)
108186,10,Son in Law (1993)
108174,10,So I Married an Axe Murderer (1993)
108255,0,Super Mario Bros. (1993)
111400,3,Terminal Velocity (1994)
108328,14,Thirty Two Short Films About Glenn Gould (1993)
111418,10,Threesome (1994)
108333,3,The Three Musketeers (1993)
108358,3,Tombstone (1993)
111488,19,Trial by Jury (1994)
108399,24,True Romance (1993)
108515,21,The War Room (1993)
110763,12,The Pagemaster (1994)
107779,10,"Paris, France (1993)"
109226,7,"The Beans of Egypt, Maine (1994)"
110259,7,Killer (1994)
114906,10,Welcome to the Dollhouse (1995)
107002,7,Germinal (1993)
104029,22,Cronos (1993)
107315,10,Kika (1993)
106408,10,Bhaji on the Beach (1993)
111709,10,Wide-Eyed and Legless
109828,7,Foreign Student (1994)
111252,10,Spanking the Monkey (1994)
106878,10,íó la mode (1993)
109120,0,Andre (1994)
108059,24,La scorta (1993)
110892,10,Princess Caraboo (1994)
109382,14,Caro diario (1993)
106678,7,I Don't Want to Talk About It (1993)
112572,10,The Brady Bunch Movie (1995)
99785,10,Home Alone (1990)
99653,7,Ghost (1990)
103639,12,Aladdin (1992)
103064,3,Terminator 2: Judgment Day (1991)
99348,0,Dances with Wolves (1990)
114706,3,Tough and Deadly (1995)
96895,3,Batman (1989)
102926,24,The Silence of the Lambs (1991)
29583,12,Snow White and the Seven Dwarfs (1937)
101414,12,Beauty and the Beast (1991)
32910,12,Pinocchio (1940)
110395,24,Love and a .45 (1994)
111752,7,Wu kui (1994)
109934,21,A Great Day in Harlem (1994)
112606,10,Bye Bye Love (1995)
115978,21,Criminals (1997)
112625,22,Candyman: Farewell to the Flesh (1995)
106537,7,Century (1993)
116282,24,Fargo (1996)
116552,0,Homeward Bound II: Lost in San Francisco (1996)
116514,22,Hellraiser: Bloodline (1996)
117283,10,The Pallbearer (1996)
116684,7,Jane Eyre (1996)
110374,7,Loaded (1994)
65421,12,The AristoCats (1970)
118001,10,Two Much (1996)
116165,10,Ed (1996)
107471,7,Ma saison prí©fí©rí©e (1993)
113839,10,A Modern Affair (1995)
112712,3,Condition Red (1995)
90665,7,Halfaouine: Boy of the Terraces (1990)
117891,10,A Thin Line Between Love and Hate (1996)
113613,10,The Last Supper (1995)
117381,24,Primal Fear (1996)
114305,24,Rude (1995)
115837,7,Carried Away (1996)
115509,12,All Dogs Go to Heaven 2 (1996)
112844,10,Denise Calls Up (1995)
114658,3,Theodore Rex (1995)
113122,7,Frisk (1995)
113448,10,Jack & Sarah (1995)
116095,7,Diabolique (1996)
111543,0,"Little Indian, Big City (1994)"
117312,10,Peanuts - Die Bank zahlt alles (1996)
113947,7,Nelly & Monsieur Arnaud (1995)
115956,3,Courage Under Fire (1996)
117060,3,Mission: Impossible (1996)
109028,10,Cold Fever (1995)
117788,10,Das Superweib (1996)
112257,22,"301, 302 (1995)"
116136,3,DragonHeart (1996)
118026,14,Und keiner weint mir nach (1996)
117117,7,My Mother's Courage (1995)
116168,10,Eddie (1996)
111787,10,Yankee Zulu (1993)
112509,6,Billy's Holiday (1995)
115591,10,August (1996)
116683,12,James and the Giant Peach (1996)
116287,7,Fear (1996)
116768,10,Kids in the Hall: Brain Candy (1996)
116269,10,Faithful (1996)
113720,7,Lust och fí_gring stor (1995)
112536,3,Bloodsport 2 (1996)
48473,7,Pather Panchali (1955)
117128,10,Mystery Science Theater 3000: The Movie (1996)
117705,12,Space Jam (1996)
62711,0,Barbarella (1968)
110061,3,Hostile Intentions (1995)
140614,10,They Bite (1996)
108181,17,Some Folks Call It a Sling Blade (1994)
114307,7,The Run of the Country (1995)
58898,7,Alphaville (1965)
82206,10,Coup de torchon (1981)
111430,21,Tigrero: A Film That Was Never Made (1994)
107727,21,L'oeil de Vichy (1993)
113443,7,It's My Party (1996)
109491,7,Country Life (1994)
114048,3,Operation Dumbo Drop (1995)
111613,8,Das Versprechen (1995)
117104,10,Mrs. Winterbourne (1996)
117688,3,Solo (1996)
117774,3,The Substitute (1996)
114736,24,True Crime (1995)
116289,10,Feeling Minnesota (1996)
109593,7,Delta of Venus (1995)
103095,10,To Cross the Rubicon (1991)
112368,10,Angus (1995)
115742,13,Boys (1996)
117420,3,The Quest (1996)
115951,10,Cosi (1996)
117107,24,Mulholland Falls (1996)
95776,12,Oliver & Company (1988)
115851,10,Celtic Pride (1996)
116322,9,Flipper (1996)
109374,24,Captives (1994)
110712,7,Of Love and Shadows (1994)
113362,0,The Horseman on the Roof (1995)
73778,3,Switchblade Sisters (1975)
112546,10,Boca a boca (1995)
108500,10,Les visiteurs (1993)
118114,12,Wallace & Gromit: The Best of Aardman Animation (1996)
114103,7,Paul Bowles - Halbmond (1995)
113270,21,The Haunted World of Edward D. Wood Jr. (1995)
92123,7,2 Friends (1986)
116448,10,The Great White Hype (1996)
116827,7,Last Dance (1996)
112701,10,Cold Comfort Farm (1995)
116508,7,Heaven's Prisoners (1996)
117260,3,Original Gangstas (1996)
117500,3,The Rock (1996)
109592,10,Cemetery Man (1994)
117998,3,Twister (1996)
113145,7,Le garí_u (1995)
113568,12,Ghost in the Shell (1995)
117894,5,Thinner (1996)
117723,10,Spy Hard (1996)
112586,10,Brothers in Trouble (1995)
103926,10,Careful (1992)
113849,10,A Month by the Lake (1995)
113188,0,Gold Diggers: The Secret of Bear Mountain (1995)
109688,3,Dung che sai duk (1994)
104606,7,Khomreh (1992)
110480,21,Maya Lin: A Strong Clear Vision (1994)
117765,10,Striptease (1996)
113280,7,Heavy (1995)
116594,14,I Shot Andy Warhol (1996)
114494,10,Someone Else's America (1995)
70820,7,Touki Bouki (1973)
109191,10,Babyfever (1994)
114122,1,Pharaoh's Army (1995)
117951,7,Trainspotting (1996)
118523,8,'Til There Was You (1997)
116629,3,Independence Day (1996)
117737,7,Stealing Beauty (1996)
116277,3,The Fan (1996)
116583,12,The Hunchback of Notre Dame (1996)
115798,10,The Cable Guy (1996)
116778,10,Kingpin (1996)
116213,3,Eraser (1996)
113147,21,The Gate of Heavenly Peace
117218,10,The Nutty Professor (1996)
100990,7,"I, the Worst of All (1990)"
111546,7,Un í©tí© inoubliable (1994)
113610,21,"The Last Klezmer: Leopold Kozlowski, His Life and Music (1994)"
93199,5,A Hungarian Fairy Tale (1987)
111180,24,Sibak (1994)
111237,10,Somebody to Love (1994)
72362,7,A Very Natural Thing (1974)
103207,10,The Old Lady Who Walked in the Sea (1991)
116040,3,Daylight (1996)
116905,24,Lone Star (1996)
116493,10,Harriet the Spy (1996)
117333,7,Phenomenon (1996)
118113,10,Walking and Talking (1996)
115530,7,American Buffalo (1996)
114266,10,Les rendez-vous de Paris (1995)
116320,3,Fled (1996)
116756,10,Kazaam (1996)
109356,7,Bí_ví_s vadíçsz (1994)
114170,3,Power 98 (1996)
118073,10,A Very Brady Sequel (1996)
108220,10,Stefano Quantestorie (1993)
49521,0,Death in the Garden (1956)
112746,7,The Crude Oasis (1995)
104403,7,Hedd Wyn (1992)
61495,10,La collectionneuse (1967)
110246,7,Kaspar Hauser (1993)
116164,10,Echte Kerle (1996)
112716,7,The Convent (1995)
115472,0,The Adventures of Pinocchio (1996)
116707,10,Joe's Apartment (1996)
116313,10,The First Wives Club (1996)
114550,10,Stonewall (1995)
116531,10,High School High (1996)
117332,10,Phat Beach (1996)
116353,7,Foxfire (1996)
115857,3,Chain Reaction (1996)
117008,10,Matilda (1996)
115986,3,The Crow: City of Angels (1996)
116571,10,House Arrest (1996)
113695,7,Lotto Land (1995)
111424,24,Tian guo ni zi (1994)
115680,7,The Big Squeeze (1996)
117718,7,The Spitfire Grill (1996)
116225,3,Escape from L.A. (1996)
112767,24,Cyclo (1995)
115632,14,Basquiat (1996)
117918,10,Tin Cup (1996)
104109,7,Dingo (1991)
107575,10,Mille bolle blu (1993)
42054,7,Wuya yu maque (1949)
68646,24,The Godfather (1972)
109255,10,Maybe... Maybe Not (1994)
104558,3,Police Story 3: Supercop (1992)
116985,10,Manny & Lo (1996)
114936,10,The Wife (1995)
114474,7,Small Faces (1996)
115836,10,Carpool (1996)
101692,10,Death in Brunswick (1990)
116745,24,Kansas City (1996)
119214,10,Gone Fishin' (1997)
116934,10,Lover's Knot (1995)
109066,7,Vive L'Amour (1994)
75169,7,Shadow of Angels (1976)
113542,14,Killer: A Journal of Murder (1995)
106544,3,Once a Cop (1993)
112607,7,Bye-Bye (1995)
120004,22,The Relic (1997)
116654,22,The Island of Dr. Moreau (1996)
116311,9,First Kid (1996)
117965,7,The Trigger Effect (1996)
114592,7,Sweet Nothing (1995)
115725,10,Bogus (1996)
115783,3,Bulletproof (1996)
120271,7,Talk of Angels (1998)
113596,12,The Land Before Time III: The Time of the Great Giving (1995)
109001,8,1-900 (1994)
113253,22,Halloween: The Curse of Michael Myers (1995)
117991,10,Twelfth Night or What You Will (1996)
117093,7,Mother Night (1996)
24252,7,Liebelei (1933)
105729,7,Venice/Venice (1992)
111019,7,Wild Reeds (1994)
35896,0,For Whom the Bell Tolls (1943)
32904,10,The Philadelphia Story (1940)
50419,10,Funny Face (1957)
54698,10,Breakfast at Tiffany's (1961)
52357,13,Vertigo (1958)
25316,10,It Happened One Night (1934)
36855,24,Gaslight (1944)
25164,10,The Gay Divorcee (1934)
53125,3,North by Northwest (1959)
53604,10,The Apartment (1960)
53291,10,Some Like It Hot (1959)
56923,10,Charade (1963)
34583,7,Casablanca (1942)
58385,7,My Fair Lady (1964)
47437,10,Sabrina (1954)
46250,10,Roman Holiday (1953)
31580,10,The Little Princess (1939)
32138,0,The Wizard of Oz (1939)
31381,7,Gone with the Wind (1939)
84370,10,My Favorite Year (1982)
33467,7,Citizen Kane (1941)
62622,0,2001: A Space Odyssey (1968)
39428,0,Golden Earrings (1947)
42192,7,All About Eve (1950)
32143,10,The Women (1939)
32976,7,Rebecca (1940)
32484,3,Foreign Correspondent (1940)
38787,7,Notorious (1946)
38109,20,Spellbound (1945)
48728,24,To Catch a Thief (1955)
42451,10,Father of the Bride (1950)
31725,10,Ninotchka (1939)
50658,10,Love in the Afternoon (1957)
29843,3,The Adventures of Robin Hood (1938)
32762,3,The Mark of Zorro (1940)
37008,24,Laura (1944)
39420,10,The Ghost and Mrs. Muir (1947)
29162,0,Lost Horizon (1937)
27125,10,Top Hat (1935)
35446,10,To Be or Not to Be (1942)
28010,10,My Man Godfrey (1936)
49261,7,Giant (1956)
48028,7,East of Eden (1955)
48960,0,Around the World in Eighty Days (1956)
38650,7,It's a Wonderful Life (1946)
31679,10,Mr. Smith Goes to Washington (1939)
29947,10,Bringing Up Baby (1938)
17350,7,The Scarlet Letter (1926)
36094,10,Lady of Burlesque (1943)
25586,7,Of Human Bondage (1934)
38300,10,Angel on My Shoulder (1946)
27893,7,Little Lord Fauntleroy (1936)
32022,24,They Made Me a Criminal (1939)
41509,10,The Inspector General (1949)
39152,8,Angel and the Badman (1947)
26029,13,The 39 Steps (1935)
38235,7,A Walk in the Sun (1945)
43265,0,The African Queen (1951)
51459,7,Cat on a Hot Tin Roof (1958)
47162,7,The Last Time I Saw Paris (1954)
29855,7,Algiers (1938)
29588,10,Something to Sing About (1937)
27980,24,Moonlight Murder (1936)
114007,7,Nothing Personal (1995)
93229,3,Huang jia shi jie (1985)
118927,3,Dangerous Ground (1997)
48491,7,Picnic (1955)
113730,10,Madagascar Skin (1995)
117357,10,The Pompatus of Love (1995)
117669,21,Small Wonders (1995)
116329,0,Fly Away Home (1996)
116442,10,Grace of My Heart (1996)
117011,3,Maximum Risk (1996)
116635,14,Infinity (1996)
115678,7,Big Night (1996)
116830,3,Last Man Standing (1996)
115847,7,Caught (1996)
117603,3,Set It Off (1996)
115438,10,2 Days in the Valley (1996)
116167,8,Ed's Next Move (1996)
116259,24,Extreme Measures (1996)
116421,3,The Glimmer Man (1996)
116000,3,D3: The Mighty Ducks (1996)
115862,24,The Chamber (1996)
72653,9,The Apple Dumpling Gang (1975)
47977,9,Davy Crockett: King of the Wild Frontier (1955)
72951,0,Escape to Witch Mountain (1975)
64603,10,The Love Bug (1968)
71607,10,Herbie Rides Again (1974)
50798,9,Old Yeller (1957)
55277,10,The Parent Trap (1961)
54195,7,Pollyanna (1960)
107131,0,Homeward Bound: The Incredible Journey (1993)
53271,9,The Shaggy Dog (1959)
54357,0,Swiss Family Robinson (1960)
59793,10,That Darn Cat! (1965)
46672,0,"20,000 Leagues Under the Sea (1954)"
109127,10,Angels in the Outfield (1994)
42332,12,Cinderella (1950)
63819,12,Winnie the Pooh and the Blustery Day (1968)
38166,12,The Three Caballeros (1944)
57546,12,The Sword in the Stone (1963)
41890,12,So Dear to My Heart (1948)
102798,3,Robin Hood: Prince of Thieves (1991)
58331,10,Mary Poppins (1964)
33563,12,Dumbo (1941)
76538,12,Pete's Dragon (1977)
66817,12,Bedknobs and Broomsticks (1971)
82406,12,The Fox and the Hound (1981)
116361,10,Freeway (1996)
59742,14,The Sound of Music (1965)
95016,3,Die Hard (1988)
118044,7,Unhook the Stars (1996)
114597,21,Synthetic Pleasures (1995)
117582,7,The Secret Agent (1996)
117589,7,Secrets & Lies (1996)
117887,10,That Thing You Do! (1996)
117924,7,To Gillian on Her 37th Birthday (1996)
117791,14,Surviving Picasso (1996)
116928,10,Love Is All There Is (1996)
115640,10,Beautiful Thing (1996)
116908,3,The Long Kiss Goodnight (1996)
116913,21,Looking for Richard (1996)
117958,10,Trees Lounge (1996)
117400,7,The Proprietor (1996)
117202,24,Normal Life (1996)
116404,7,Get on the Bus (1996)
120107,3,Shadow Conspiracy (1997)
116722,7,Jude (1996)
116242,10,Everyone Says I Love You (1996)
117802,10,Swingers (1996)
117665,24,Sleepers (1996)
117781,24,The Sunchaser (1996)
116714,7,Johns (1996)
